,viewCount,likeCount,dislikeCount,num_days_since_pub,viewcounts_weighted,like_count_weighted,dislike_count_weighted,like_dislike_ratio,weighted_like_dislike_ratio,like_dislike_ratio_by_viewcounts_weighted,videoTitleSentimentScore_vader_pos,videoTitleSentimentScore_vader_com,captionSentimentScore_vader_pos,captionSentimentScore_vader_neg,captionSentimentScore_vader_com,falir_videoTitle_score,caption_list_split_by_nvidia_10words_flairscores,caption_list_split_by_nvidia_20words_flairscores,caption_list_split_by_nvidia_35words_flairscores,caption_list_split_by_nvidia_10words_vaderscores,caption_list_split_by_nvidia_20words_vaderscores,caption_list_split_by_nvidia_35words_vaderscores,msft,amd,ndaq,intel,qualcomm,apple,pred_24,pred_48,pred_72,percent_change_24,percent_change_48,percent_change_72,action_96
229,16050.52,401.72,12.48,52.6,529.1312621407018,29.06020878220409,0.5236248303675801,0.9688781481338832,0.9688781481338832,516.3691986915042,0.2597142857142857,0.4905857142857143,0.1432,0.031,0.999075,-0.4266800000000001,0.22505,0.1495,0.1387,0.1136315789473684,0.11535,0.11795,201.47999572753903,74.38999938964844,123.1999969482422,44.52989959716797,123.38999938964844,108.2300033569336,4.0375366,10.278374,13.624756,3.8862614613581536,9.750545836913416,12.715602538232918,buy
230,16291.08,445.56,13.12,49.8,945.7083173367428,79.30835432211019,1.3213713092408197,0.969200894068126,0.969200894068126,926.4606711618806,0.2597142857142857,0.34965,0.1424736842105263,0.0306315789473684,0.9990315789473684,-0.4400400000000001,0.2325263157894737,0.1583157894736842,0.1335263157894737,0.1157777777777777,0.1158421052631579,0.118,202.32000732421875,74.69999694824219,123.19000244140624,44.470001220703125,123.97000122070312,108.7699966430664,3.8382568,10.272675,13.335083,3.4606716886454114,9.61718708887631,12.523586753053827,buy
231,13348.68,355.16,10.24,53.88,437.1498214485549,22.87358282594901,0.4443883331220147,0.9706270999169831,0.9706270999169831,426.29377543548094,0.25125,0.45755,0.1357619047619047,0.029047619047619,0.9989190476190476,-0.4366400000000001,0.1815714285714286,0.1083809523809524,0.145952380952381,0.1031428571428571,0.1104285714285714,0.1110952380952381,202.32000732421875,74.69999694824219,123.19000244140624,44.470001220703125,123.97000122070312,108.7699966430664,3.4667358,9.617561,12.535278,3.4606716886454114,9.61718708887631,12.523586753053827,buy
232,16061.28,402.28,12.52,52.84,527.1467533100255,28.898690671391943,0.5100941613959226,0.9685675350578756,0.9685675350578756,514.6037737607812,0.2597142857142857,0.4905857142857143,0.1432,0.031,0.999075,-0.4266800000000001,0.22505,0.1495,0.1387,0.1136315789473684,0.11535,0.11795,202.32000732421875,74.69999694824219,123.19000244140624,44.470001220703125,123.97000122070312,108.7699966430664,4.0375366,10.278374,13.624756,3.4606716886454114,9.61718708887631,12.523586753053827,buy
233,14315.0,392.04,11.72,46.84,515.5069902687621,29.154356373790428,0.5049262602830707,0.970503516949348,0.970503516949348,503.613982005525,0.25125,0.45755,0.137047619047619,0.0298571428571428,0.998904761904762,-0.4367600000000001,0.1844761904761905,0.1105238095238095,0.0947619047619047,0.1014999999999999,0.1068571428571428,0.1099047619047619,202.32000732421875,74.69999694824219,123.19000244140624,44.470001220703125,123.97000122070312,108.7699966430664,2.5929565,7.5420074,9.443481,3.4606716886454114,9.61718708887631,12.523586753053827,buy
234,14320.92,392.36,11.76,46.92,498.1603801361663,27.912384945219,0.4927929269497374,0.9704784587296136,0.9704784587296136,486.438317933304,0.25125,0.45755,0.137047619047619,0.0298571428571428,0.998904761904762,-0.4367600000000001,0.1844761904761905,0.1105238095238095,0.0947619047619047,0.1014999999999999,0.1068571428571428,0.1099047619047619,202.32000732421875,74.69999694824219,123.19000244140624,44.470001220703125,123.97000122070312,108.7699966430664,2.5929565,7.5420074,9.443481,3.4606716886454114,9.61718708887631,12.523586753053827,buy
235,16073.8,402.84,12.56,53.0,510.91819999210713,27.735214268178552,0.4976572368000937,0.9685532025147662,0.9685532025147662,498.5476942460384,0.2597142857142857,0.4905857142857143,0.1432,0.031,0.999075,-0.4266800000000001,0.22505,0.1495,0.1387,0.1136315789473684,0.11535,0.11795,202.32000732421875,74.69999694824219,123.19000244140624,44.470001220703125,123.97000122070312,108.7699966430664,4.0375366,10.278374,13.624756,3.4606716886454114,9.61718708887631,12.523586753053827,buy
236,11755.0,315.36,9.0,51.36,332.7343711658765,17.626945231040153,0.3223655120293376,0.973498866637446,0.973498866637446,325.005896180326,0.2327142857142856,0.4385,0.1359545454545454,0.0281818181818181,0.9990454545454548,-0.5284800000000002,0.1704545454545455,0.1205454545454545,0.1399090909090909,0.099090909090909,0.1086818181818182,0.1105909090909091,207.3999938964844,76.61499786376953,125.5999984741211,45.400001525878906,126.62000274658205,111.04000091552734,3.9355469,5.27269,5.056885,5.681380586014617,8.20814958762126,10.642479547979676,buy
237,11772.18,315.94,9.04,53.24,325.2000275494692,16.972925158299493,0.3238307607134069,0.9721619414309256,0.9721619414309256,317.4533494400614,0.227625,0.4119750000000001,0.1351162790697674,0.0289767441860465,0.9989186046511632,-0.5289200000000001,0.1798139534883721,0.1226046511627907,0.1399302325581395,0.095906976744186,0.1057209302325581,0.1074651162790697,206.509994506836,76.36000061035156,125.81999969482422,45.220001220703125,125.8550033569336,110.52999877929688,2.452942,3.8420944,2.3093262,5.671830172455361,8.755394744116508,11.802341515974568,buy
238,11806.8,316.72,9.04,54.8,325.5786657463191,16.980442767985966,0.3228252821442801,0.9726956235512336,0.9726956235512336,317.83786189483953,0.2276249999999999,0.411975,0.1353181818181818,0.0289090909090909,0.9989409090909092,-0.5289200000000001,0.1726818181818182,0.1166363636363636,0.1399090909090909,0.0958181818181818,0.106090909090909,0.1077727272727272,205.6999969482422,76.2699966430664,125.70500183105467,45.06999969482422,125.01000213623048,110.08999633789062,2.8626099,4.1530533,2.5412598,6.508654676484804,9.19504652730856,12.06015355935268,buy
