,Time,weekday,price,percent_change_24,percent_change_48,percent_change_72,percent_change_96
0,2020-10-02 09:30:00,4,529.0,-1.2325178698015082,-1.2325178698015082,0.08317626491611829,4.574671494712912
1,2020-10-02 10:30:00,4,539.6950073242188,-3.189769522015773,-3.189769522015773,0.46229723887154517,4.352456464408894
2,2020-10-02 11:30:00,4,533.02001953125,-1.9774189854574575,-1.9774189854574575,1.3789304935302837,4.202461926027712
3,2020-10-02 12:30:00,4,531.1312866210938,-1.6288451406018423,-1.6288451406018423,2.3965258780828114,5.256459537431102
4,2020-10-02 13:30:00,4,529.25,-1.2791723252243759,-1.2791723252243759,2.638644658567557,5.963154947301597
5,2020-10-02 14:30:00,4,528.52001953125,-1.142821244095349,-1.142821244095349,2.3896928055845867,6.427376342953539
6,2020-10-02 15:30:00,4,525.5,-0.5746944873929571,-0.5746944873929571,3.7821122740247404,5.676501824898916
7,2020-10-02 16:30:00,4,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535
8,2020-10-02 17:30:00,4,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535
9,2020-10-02 18:30:00,4,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535
10,2020-10-02 19:30:00,4,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535
11,2020-10-02 20:30:00,4,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535
12,2020-10-02 21:30:00,4,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535
13,2020-10-02 22:30:00,4,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535
14,2020-10-02 23:30:00,4,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535
15,2020-10-03 00:30:00,5,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535
16,2020-10-03 01:30:00,5,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535
17,2020-10-03 02:30:00,5,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535
18,2020-10-03 03:30:00,5,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535
19,2020-10-03 04:30:00,5,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535
20,2020-10-03 05:30:00,5,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535
21,2020-10-03 06:30:00,5,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535
22,2020-10-03 07:30:00,5,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535
23,2020-10-03 08:30:00,5,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535
24,2020-10-03 09:30:00,5,522.47998046875,0.0,1.332112661314211,5.879657190065024,7.179224308646703
25,2020-10-03 10:30:00,5,522.47998046875,0.0,3.772397548126749,7.790732393866029,6.612702901483036
26,2020-10-03 11:30:00,5,522.47998046875,0.0,3.4240574408970215,6.30454824543778,6.686111440797959
27,2020-10-03 12:30:00,5,522.47998046875,0.0,4.092023748667106,6.999312641875677,6.742850026961644
28,2020-10-03 13:30:00,5,522.47998046875,0.0,3.9685819862640415,7.336169522793101,7.022279094500283
29,2020-10-03 14:30:00,5,522.47998046875,0.0,3.573351064774277,7.657711541355039,7.018762867521655
30,2020-10-03 15:30:00,5,522.47998046875,0.0,4.381989815324494,6.287329246877915,6.721787710541394
31,2020-10-03 16:30:00,5,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581
32,2020-10-03 17:30:00,5,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581
33,2020-10-03 18:30:00,5,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581
34,2020-10-03 19:30:00,5,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581
35,2020-10-03 20:30:00,5,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581
36,2020-10-03 21:30:00,5,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581
37,2020-10-03 22:30:00,5,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581
38,2020-10-03 23:30:00,5,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581
39,2020-10-04 00:30:00,6,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581
40,2020-10-04 01:30:00,6,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581
41,2020-10-04 02:30:00,6,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581
42,2020-10-04 03:30:00,6,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581
43,2020-10-04 04:30:00,6,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581
44,2020-10-04 05:30:00,6,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581
45,2020-10-04 06:30:00,6,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581
46,2020-10-04 07:30:00,6,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581
47,2020-10-04 08:30:00,6,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581
48,2020-10-04 09:30:00,6,522.47998046875,1.332112661314211,5.879657190065024,7.179224308646703,7.7553248059182955
49,2020-10-04 10:30:00,6,522.47998046875,3.772397548126749,7.790732393866029,6.612702901483036,5.5925648504400405
50,2020-10-04 11:30:00,6,522.47998046875,3.4240574408970215,6.30454824543778,6.686111440797959,6.034686586189841
51,2020-10-04 12:30:00,6,522.47998046875,4.092023748667106,6.999312641875677,6.742850026961644,6.013635951586815
