,Time,viewCount,likeCount,dislikeCount,videoTitleSentimentScore_pos,videoTitleSentimentScore_neg,captionSentimentScore_pos,captionSentimentScore_neg,captionSentimentScore_com,videoTitleSentimentScore_com,num_days_since_pub,viewcounts_weighted,like_count_weighted,dislike_count_weighted,like_dislike_ratio,weighted_like_dislike_ratio,like_dislike_ratio_by_viewcounts_weighted,weekday,price,future_price,percent_change
51,2020-10-09 13:30:00,5584.42,181.84,5.8,0.11556,0.0166,0.11224,0.018,0.7991520000000003,0.15836,22.72,693.0215321620526,31.863883900004797,0.7830410366849517,0.97306569945763,0.97306569945763,671.1469605222777,4,549.29248046875,570.344970703125,3.83265582234249
52,2020-10-09 14:30:00,5592.0,182.44,5.8,0.11556,0.0166,0.11224,0.018,0.7991520000000001,0.15836,22.72,698.2841809962063,32.29785215397305,0.7830410366849516,0.9730850782258332,0.9730850782258332,676.4089840038026,4,547.875,573.7899780273438,4.730089532711612
53,2020-10-09 15:30:00,5596.72,182.92,5.8,0.11556,0.0166,0.11224,0.018,0.7991520000000001,0.15836,22.72,701.313920126641,32.62356643968733,0.7830410366849516,0.9731136294247188,0.9731136294247188,679.4548500770932,4,549.4600219726562,570.2100219726562,3.776434894299308
54,2020-10-09 16:30:00,5601.08,183.2,5.8,0.11556,0.0166,0.11224,0.018,0.7991520000000001,0.15836,22.84,662.9254838700873,29.295989408875005,0.7075497632525015,0.973120157704264,0.973120157704264,642.0098823392702,4,550.5399780273438,568.719970703125,3.302211174731129
55,2020-10-09 17:30:00,5605.6,183.44,5.8,0.11556,0.0166,0.11224,0.018,0.7991520000000001,0.15836,22.96,628.7531543227944,29.016245819131417,0.6881138658166042,0.9731232669922016,0.9731232669922016,609.3804861378757,4,550.5399780273438,568.719970703125,3.302211174731129
56,2020-10-09 18:30:00,5611.36,183.68,5.84,0.11556,0.0166,0.11224,0.018,0.7991520000000001,0.15836,23.04,631.6653163852803,29.222430610292086,0.7278886066916427,0.9719467964039664,0.9719467964039664,611.8284512543414,4,550.5399780273438,568.719970703125,3.302211174731129
57,2020-10-09 19:30:00,5615.84,183.96,5.88,0.11556,0.0166,0.11224,0.018,0.7991520000000001,0.15836,23.12,630.6675635968501,29.098988186049663,0.7675249703280064,0.970949240255332,0.970949240255332,610.3136781745757,4,550.5399780273438,568.719970703125,3.302211174731129
58,2020-10-09 20:30:00,5622.32,184.28,5.88,0.11556,0.0166,0.11224,0.018,0.7991520000000001,0.15836,23.16,632.8490688027553,28.77565485271633,0.7675249703280064,0.971213087649873,0.971213087649873,612.4968808654263,4,550.5399780273438,568.719970703125,3.302211174731129
59,2020-10-09 21:30:00,5625.6,184.36,5.88,0.11556,0.0166,0.11224,0.018,0.7991520000000001,0.15836,23.16,634.5839920141422,28.828988186049664,0.7675249703280064,0.9712589017739144,0.9712589017739144,614.1891649277516,4,550.5399780273438,568.719970703125,3.302211174731129
60,2020-10-10 13:30:00,5267.36,182.24,5.72,0.11556,0.0166,0.1134,0.01896,0.799552,0.15836,23.6,475.5242006313685,24.469424258315147,0.6158168334904577,0.9734810732509248,0.9734810732509248,461.5320172651256,5,550.5399780273438,569.0700073242188,3.3657917746991783
61,2020-10-10 21:30:00,5671.88,187.32,6.04,0.1038,0.0166,0.1108,0.01868,0.7991320000000002,0.137772,22.12,534.2893401271699,23.236570286835622,0.6482011742690078,0.9744271030115008,0.9744271030115008,516.5372147915263,5,550.5399780273438,569.9099731445312,3.51836304178903
62,2020-10-11 13:30:00,4824.44,153.08,4.36,0.1096,0.0,0.0,0.0,0.0,0.1871,29.32,246.1344521509104,10.37825606875403,0.1783079957241941,0.9762281784443936,0.9762281784443936,240.47048100771556,6,550.5399780273438,570.344970703125,3.597375933850455
63,2020-10-11 21:30:00,9609.92,221.16,6.72,0.10144,0.0,0.12164,0.02256,0.879492,0.175948,33.44,287.8256193714826,10.369553739611945,0.1903505186786588,0.9742846725126828,0.9742846725126828,280.69391431853745,6,550.5399780273438,568.719970703125,3.302211174731129
64,2020-10-12 12:30:00,5141.52,150.08,4.4,0.0945599999999999,0.0,0.12136,0.0212,0.879124,0.1614999999999999,30.6,289.2558295376593,9.468903343320877,0.1987515542130414,0.9722685197513872,0.9722685197513872,280.8618375506738,0,569.1799926757812,568.239990234375,-0.1651502957767725
65,2020-10-12 13:30:00,5141.9,150.08,4.4,0.0945599999999999,0.0,0.12136,0.0212,0.879124,0.1615,30.6,289.2969797208094,9.468903343320877,0.1987515542130414,0.9722685197513872,0.9722685197513872,280.9022527979121,0,570.344970703125,569.0700073242188,-0.2235424952260811
66,2020-10-12 14:30:00,10005.96,226.4,6.96,0.0898,0.0,0.11868,0.02276,0.8790640000000001,0.152528,32.2,340.22085355068333,10.247940380357914,0.2264552579167451,0.9736443313064608,0.9736443313064608,330.14783070778793,0,573.7899780273438,566.5800170898438,-1.2565505173665503
67,2020-10-12 15:30:00,5143.4,150.12,4.4,0.0945599999999999,0.0,0.12136,0.0212,0.879124,0.1614999999999999,30.6,289.5351250199548,9.476903343320876,0.1987515542130414,0.9722695511843054,0.9722695511843054,281.13400427915616,0,570.2100219726562,572.030029296875,0.3191819249199312
68,2020-10-12 16:30:00,5143.96,150.12,4.4,0.0945599999999999,0.0,0.12136,0.0212,0.879124,0.1614999999999999,30.72,286.8967387556744,9.447942519395347,0.1975844320106251,0.9722695511843056,0.9722695511843056,278.6012143000293,0,568.719970703125,569.9099731445312,0.209242246220942
