,Time,msft,amd,ndaq,intel,qualcomm,apple
0,2020-10-02 09:30:00,208.0,82.58000183105469,122.66000366210938,51.5,116.77999877929688,112.88999938964844
1,2020-10-02 10:30:00,210.57000732421875,84.5,123.91000366210938,51.880001068115234,118.5999984741211,115.18800354003906
2,2020-10-02 11:30:00,208.4199981689453,83.18000030517578,124.41999816894531,51.6349983215332,117.80000305175781,114.43000030517578
3,2020-10-02 12:30:00,207.64999389648438,82.73999786376953,123.36499786376953,51.61000061035156,116.91999816894531,114.19999694824219
4,2020-10-02 13:30:00,207.55999755859375,82.43000030517578,123.95999908447266,51.560001373291016,116.55000305175781,113.9000015258789
5,2020-10-02 14:30:00,207.8300018310547,82.37000274658203,124.30750274658203,51.39500045776367,116.51000213623047,113.74169921875
6,2020-10-02 15:30:00,207.11000061035156,81.9000015258789,123.87999725341797,51.334999084472656,116.2300033569336,113.45999908447266
7,2020-10-02 16:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
8,2020-10-02 17:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
9,2020-10-02 18:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
10,2020-10-02 19:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
11,2020-10-02 20:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
12,2020-10-02 21:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
13,2020-10-02 22:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
14,2020-10-02 23:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
15,2020-10-03 00:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
16,2020-10-03 01:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
17,2020-10-03 02:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
18,2020-10-03 03:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
19,2020-10-03 04:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
20,2020-10-03 05:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
21,2020-10-03 06:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
22,2020-10-03 07:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
23,2020-10-03 08:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
24,2020-10-03 09:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
25,2020-10-03 10:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
26,2020-10-03 11:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
27,2020-10-03 12:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
28,2020-10-03 13:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
29,2020-10-03 14:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
30,2020-10-03 15:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
31,2020-10-03 16:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
32,2020-10-03 17:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
33,2020-10-03 18:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
34,2020-10-03 19:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
35,2020-10-03 20:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
36,2020-10-03 21:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
37,2020-10-03 22:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
38,2020-10-03 23:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
39,2020-10-04 00:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
40,2020-10-04 01:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
41,2020-10-04 02:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
42,2020-10-04 03:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
43,2020-10-04 04:30:00,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
