,Time,weekday,price,future_price,percent_change
3422,2021-02-21 23:30:00,6,597.2000122070312,574.22998046875,-3.846287888272548
3423,2021-02-22 00:30:00,0,597.2000122070312,574.22998046875,-3.846287888272548
3424,2021-02-22 01:30:00,0,597.2000122070312,574.22998046875,-3.846287888272548
3425,2021-02-22 02:30:00,0,597.2000122070312,574.22998046875,-3.846287888272548
3426,2021-02-22 03:30:00,0,597.2000122070312,574.22998046875,-3.846287888272548
3427,2021-02-22 04:30:00,0,597.2000122070312,574.22998046875,-3.846287888272548
3428,2021-02-22 05:30:00,0,597.2000122070312,574.22998046875,-3.846287888272548
3429,2021-02-22 06:30:00,0,597.2000122070312,574.22998046875,-3.846287888272548
3430,2021-02-22 07:30:00,0,597.2000122070312,574.22998046875,-3.846287888272548
3431,2021-02-22 08:30:00,0,597.2000122070312,574.22998046875,-3.846287888272548
3432,2021-02-22 09:30:00,0,590.989990234375,563.010009765625,-4.734425443932421
3433,2021-02-22 10:30:00,0,598.8400268554688,555.2100219726562,-7.285752943388779
3434,2021-02-22 11:30:00,0,593.0,557.5850219726562,-5.972171674088322
3435,2021-02-22 12:30:00,0,589.4199829101562,553.280029296875,-6.131443565052996
3436,2021-02-22 13:30:00,0,590.875,554.4650268554688,-6.1620432654167505
3437,2021-02-22 14:30:00,0,589.9600219726562,557.8699951171875,-5.439356169960286
3438,2021-02-22 15:30:00,0,576.635009765625,568.3099975585938,-1.4437229904606386
3439,2021-02-22 16:30:00,0,574.22998046875,565.6500244140625,-1.494167205913488
3440,2021-02-22 17:30:00,0,574.22998046875,565.6500244140625,-1.494167205913488
3441,2021-02-22 18:30:00,0,574.22998046875,565.6500244140625,-1.494167205913488
3442,2021-02-22 19:30:00,0,574.22998046875,565.6500244140625,-1.494167205913488
3443,2021-02-22 20:30:00,0,574.22998046875,565.6500244140625,-1.494167205913488
3444,2021-02-22 21:30:00,0,574.22998046875,565.6500244140625,-1.494167205913488
3445,2021-02-22 22:30:00,0,574.22998046875,565.6500244140625,-1.494167205913488
3446,2021-02-22 23:30:00,0,574.22998046875,565.6500244140625,-1.494167205913488
3447,2021-02-23 00:30:00,1,574.22998046875,565.6500244140625,-1.494167205913488
3448,2021-02-23 01:30:00,1,574.22998046875,565.6500244140625,-1.494167205913488
