,Time,weekday,msft,amd,ndaq,intel,qualcomm,apple
0,2020-10-02 09:30:00,4,208.0,208.0,208.0,208.0,208.0,208.0
1,2020-10-02 10:30:00,4,210.57000732421875,210.57000732421875,210.57000732421875,210.57000732421875,210.57000732421875,210.57000732421875
2,2020-10-02 11:30:00,4,208.4199981689453,208.4199981689453,208.4199981689453,208.4199981689453,208.4199981689453,208.4199981689453
3,2020-10-02 12:30:00,4,207.64999389648438,207.64999389648438,207.64999389648438,207.64999389648438,207.64999389648438,207.64999389648438
4,2020-10-02 13:30:00,4,207.55999755859375,207.55999755859375,207.55999755859375,207.55999755859375,207.55999755859375,207.55999755859375
5,2020-10-02 14:30:00,4,207.8300018310547,207.8300018310547,207.8300018310547,207.8300018310547,207.8300018310547,207.8300018310547
6,2020-10-02 15:30:00,4,207.11000061035156,207.11000061035156,207.11000061035156,207.11000061035156,207.11000061035156,207.11000061035156
7,2020-10-02 16:30:00,4,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
8,2020-10-02 17:30:00,4,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
9,2020-10-02 18:30:00,4,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
10,2020-10-02 19:30:00,4,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
11,2020-10-02 20:30:00,4,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
12,2020-10-02 21:30:00,4,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
13,2020-10-02 22:30:00,4,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
14,2020-10-02 23:30:00,4,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
15,2020-10-03 00:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
16,2020-10-03 01:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
17,2020-10-03 02:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
18,2020-10-03 03:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
19,2020-10-03 04:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
20,2020-10-03 05:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
21,2020-10-03 06:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
22,2020-10-03 07:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
23,2020-10-03 08:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
24,2020-10-03 09:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
25,2020-10-03 10:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
26,2020-10-03 11:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
27,2020-10-03 12:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
28,2020-10-03 13:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
29,2020-10-03 14:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
30,2020-10-03 15:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
31,2020-10-03 16:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
32,2020-10-03 17:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
33,2020-10-03 18:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
34,2020-10-03 19:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
35,2020-10-03 20:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
36,2020-10-03 21:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
37,2020-10-03 22:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
38,2020-10-03 23:30:00,5,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
39,2020-10-04 00:30:00,6,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
40,2020-10-04 01:30:00,6,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
41,2020-10-04 02:30:00,6,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125,206.17999267578125
